2017-01-01 00:55:00,"56,7","5,8","8,8"
2017-01-01 01:25:00,"57,1","5,8","8,7"
2017-01-01 01:55:00,"57,1","5,8","8,7"
2017-01-01 02:25:00,57,"5,8","8,7"
2017-01-01 02:55:00,"57,6","5,8","8,6"
2017-01-01 03:25:00,57,"5,8","8,6"
2017-01-01 03:55:00,57,"5,8","8,6"
2017-01-01 04:25:00,"57,6","5,8","8,6"
2017-01-01 04:55:00,"57,6","5,8","8,6"
2017-01-01 05:25:00,57,"5,8","8,5"
2017-01-01 05:55:00,"57,6","5,8","8,5"
2017-01-01 06:25:00,58,"5,8","8,5"
2017-01-01 06:55:00,58,"5,8","8,4"
2017-01-01 07:25:00,58,"5,8","8,4"
2017-01-01 07:55:00,"57,6","5,8","8,4"
2017-01-01 08:25:00,58,"5,8","8,4"
2017-01-01 08:55:00,"58,9","5,8","8,4"
2017-01-01 09:25:00,58,"5,8","8,4"
2017-01-01 09:55:00,58,"5,8","8,3"
2017-01-01 10:25:00,"58,4","5,8","8,3"
2017-01-01 10:55:00,"58,9","5,8","8,3"
2017-01-01 11:25:00,"57,6","5,8","8,4"
2017-01-01 11:55:00,"58,4","5,8","8,4"
2017-01-01 12:25:00,"57,6","5,8","8,4"
2017-01-01 12:55:00,58,"5,8","8,4"
2017-01-01 13:25:00,57,"5,8","8,4"
2017-01-01 13:55:00,57,"5,8","8,5"
2017-01-01 14:25:00,"56,6","5,8","8,5"
2017-01-01 14:55:00,"56,6","5,8","8,5"
2017-01-01 15:25:00,"56,7","5,8","8,5"
2017-01-01 15:55:00,"56,7","5,8","8,6"
2017-01-01 16:25:00,"56,7","5,8","8,6"
2017-01-01 16:55:00,"56,1","5,8","8,6"
2017-01-01 17:25:00,"56,1","5,8","8,6"
2017-01-01 17:55:00,"56,1","5,8","8,7"
2017-01-01 18:25:00,"56,1","5,8","8,7"
2017-01-01 18:55:00,"56,1","5,8","8,7"
2017-01-01 19:25:00,"57,1","5,8","8,7"
2017-01-01 19:55:00,58,"5,8","8,7"
2017-01-01 20:25:00,"57,1","5,8","8,7"
2017-01-01 20:55:00,"57,6","5,8","8,7"
2017-01-01 21:25:00,57,"5,8","8,6"
2017-01-01 21:55:00,"57,6","5,8","8,6"
2017-01-01 22:25:00,57,"5,8","8,6"
2017-01-01 22:55:00,58,"5,8","8,5"
2017-01-01 23:25:00,57,"5,8","8,5"
2017-01-01 23:55:00,"57,6","5,8","8,5"
2017-01-02 00:25:00,58,"5,8","8,4"
2017-01-02 00:55:00,57,"5,8","8,4"
2017-01-02 01:25:00,"57,6","5,8","8,4"
2017-01-02 01:55:00,58,"5,8","8,4"
2017-01-02 02:25:00,"57,6","5,8","8,4"
2017-01-02 02:55:00,"57,6","5,8","8,3"
2017-01-02 03:25:00,58,"5,8","8,3"
2017-01-02 03:55:00,"58,4","5,8","8,3"
2017-01-02 04:25:00,"57,6","5,8","8,3"
2017-01-02 04:55:00,"57,6","5,8","8,2"
2017-01-02 05:25:00,"58,4","5,8","8,2"
2017-01-02 05:55:00,"58,4","5,8","8,2"
2017-01-02 06:25:00,"58,9","5,8","8,2"
2017-01-02 06:55:00,"58,4","5,8","8,2"
2017-01-02 07:25:00,"57,9","5,8","8,1"
2017-01-02 07:55:00,"58,4","5,8","8,1"
2017-01-02 08:25:00,"58,4","5,8","8,1"
2017-01-02 08:55:00,"57,5","5,8","8,1"
2017-01-02 09:25:00,"57,9","5,8",8
2017-01-02 09:55:00,"57,9","5,8",8
2017-01-02 10:25:00,"57,5","5,8","8,1"
2017-01-02 10:55:00,"57,5","5,8","8,1"
2017-01-02 11:25:00,57,"5,8","8,1"
2017-01-02 11:55:00,57,"5,8","8,1"
2017-01-02 12:25:00,"56,6","5,8","8,2"
2017-01-02 12:55:00,"56,6","5,8","8,2"
2017-01-02 13:25:00,"56,6","5,8","8,2"
2017-01-02 13:55:00,"56,6","5,8","8,2"
2017-01-02 14:25:00,"56,6","5,8","8,2"
2017-01-02 14:55:00,57,"5,8","8,2"
2017-01-02 15:25:00,57,"5,8","8,3"
2017-01-02 15:55:00,57,"5,8","8,3"
2017-01-02 16:25:00,57,"5,8","8,3"
2017-01-02 16:55:00,57,"5,8","8,3"
2017-01-02 17:25:00,57,"5,8","8,4"
2017-01-02 17:55:00,57,"5,8","8,4"
2017-01-02 18:25:00,57,"5,8","8,4"
2017-01-02 18:55:00,57,"5,8","8,4"
2017-01-02 19:25:00,57,"5,8","8,4"
2017-01-02 19:55:00,57,"5,8","8,4"
2017-01-02 20:25:00,"57,6","5,8","8,4"
2017-01-02 20:55:00,"57,6","5,8","8,4"
2017-01-02 21:25:00,"57,6","5,8","8,3"
2017-01-02 21:55:00,"57,6","5,8","8,3"
2017-01-02 22:25:00,"57,6","5,8","8,3"
2017-01-02 22:55:00,"57,6","5,8","8,3"
